"DateTime","Average","Sweet Water Foundation A","Sweet Water Foundation B","BurrRidge01 A","BurrRidge01 B"
"2026-07-14 10:00:00",,65,72,63,72
"2026-07-14 11:00:00",,60,66,63,73
"2026-07-14 12:00:00",,60,67,59,67
"2026-07-14 13:00:00",,61,69,56,64
"2026-07-14 14:00:00",,61,67,57,65
"2026-07-14 15:00:00",,67,74,60,67
"2026-07-14 16:00:00",,64,67,59,67
"2026-07-14 17:00:00",,59,64,58,65
"2026-07-14 18:00:00",,54,58,57,64
"2026-07-14 19:00:00",,58,62,56,64
"2026-07-14 20:00:00",,61,66,57,64
"2026-07-14 21:00:00",,63,69,57,65
"2026-07-14 22:00:00",,66,71,58,65
"2026-07-14 23:00:00",,65,70,59,66
"2026-07-15 00:00:00",,67,71,59,67
"2026-07-15 01:00:00",,69,74,61,69
"2026-07-15 02:00:00",,70,75,62,70
"2026-07-15 03:00:00",,70,76,62,70
"2026-07-15 04:00:00",,71,77,63,72
"2026-07-15 05:00:00",,71,78,63,74
"2026-07-15 06:00:00",,75,81,63,72
"2026-07-15 07:00:00",,70,75,61,69
"2026-07-15 08:00:00",,65,70,58,65
"2026-07-15 09:00:00",,57,62,56,62
"2026-07-15 10:00:00",,54,58,58,65
"2026-07-15 11:00:00",,52,56,55,62
"2026-07-15 12:00:00",,56,62,54,61
"2026-07-15 13:00:00",,54,61,55,61
"2026-07-15 14:00:00",,53,58,56,62
"2026-07-15 15:00:00",,51,56,56,62
"2026-07-15 16:00:00",,52,57,53,59
"2026-07-15 17:00:00",,50,55,52,58
"2026-07-15 18:00:00",,51,55,52,57
"2026-07-15 19:00:00",,55,59,49,56
"2026-07-15 20:00:00",,56,61,44,55
"2026-07-15 21:00:00",,61,65,49,57
"2026-07-15 22:00:00",,67,72,55,61
"2026-07-15 23:00:00",,68,73,55,61
"2026-07-16 00:00:00",,70,75,61,68
"2026-07-16 01:00:00",,84,90,68,78
"2026-07-16 02:00:00",,104,110,79,90
"2026-07-16 03:00:00",,114,121,80,90
"2026-07-16 04:00:00",,156,160,81,92
"2026-07-16 05:00:00",,235,244,102,121
"2026-07-16 06:00:00",,265,272,186,209
