"DateTime","Average","Sweet Water Foundation A","Sweet Water Foundation B"
"2026-07-17 09:00:00",,208,216
"2026-07-17 10:00:00",,187,193
"2026-07-17 11:00:00",,158,162
"2026-07-17 12:00:00",,107,105
"2026-07-17 13:00:00",,94,93
"2026-07-17 14:00:00",,91,93
"2026-07-17 15:00:00",,80,85
"2026-07-17 16:00:00",,63,67
"2026-07-17 17:00:00",,75,81
"2026-07-17 18:00:00",,69,75
"2026-07-17 19:00:00",,61,66
"2026-07-17 20:00:00",,61,65
"2026-07-17 21:00:00",,63,68
"2026-07-17 22:00:00",,70,76
"2026-07-17 23:00:00",,70,76
"2026-07-18 00:00:00",,68,73
"2026-07-18 01:00:00",,66,71
"2026-07-18 02:00:00",,65,70
"2026-07-18 03:00:00",,63,68
"2026-07-18 04:00:00",,61,65
"2026-07-18 05:00:00",,56,60
"2026-07-18 06:00:00",,52,55
"2026-07-18 07:00:00",,46,52
"2026-07-18 08:00:00",,36,42
"2026-07-18 09:00:00",,29,36
"2026-07-18 10:00:00",,26,31
"2026-07-18 11:00:00",,24,29
"2026-07-18 12:00:00",,30,35
"2026-07-18 13:00:00",,35,43
"2026-07-18 14:00:00",,47,53
"2026-07-18 15:00:00",,54,57
"2026-07-18 16:00:00",,54,58
"2026-07-18 17:00:00",,99,103
"2026-07-18 18:00:00",,118,122
"2026-07-18 19:00:00",,139,148
"2026-07-18 20:00:00",,155,158
"2026-07-18 21:00:00",,168,171
"2026-07-18 22:00:00",,183,186
"2026-07-18 23:00:00",,191,194
"2026-07-19 00:00:00",,176,179
"2026-07-19 01:00:00",,156,159
"2026-07-19 02:00:00",,151,153
"2026-07-19 03:00:00",,152,155
"2026-07-19 04:00:00",,155,157
"2026-07-19 05:00:00",,158,161
"2026-07-19 06:00:00",,155,158
"2026-07-19 07:00:00",,145,152
"2026-07-19 08:00:00",,133,137
"2026-07-19 09:00:00",,126,132
"2026-07-19 10:00:00",,118,126
"2026-07-19 11:00:00",,113,118
"2026-07-19 12:00:00",,108,111
"2026-07-19 13:00:00",,106,109
"2026-07-19 14:00:00",,108,111
"2026-07-19 15:00:00",,113,114
"2026-07-19 16:00:00",,116,116
"2026-07-19 17:00:00",,118,120
"2026-07-19 18:00:00",,118,122
"2026-07-19 19:00:00",,124,130
"2026-07-19 20:00:00",,131,137
"2026-07-19 21:00:00",,134,139
"2026-07-19 22:00:00",,134,138
"2026-07-19 23:00:00",,132,138
"2026-07-20 00:00:00",,131,138
"2026-07-20 01:00:00",,129,138
"2026-07-20 02:00:00",,130,139
"2026-07-20 03:00:00",,132,141
"2026-07-20 04:00:00",,133,143
"2026-07-20 05:00:00",,135,146
"2026-07-20 06:00:00",,136,146
"2026-07-20 07:00:00",,134,140
"2026-07-20 08:00:00",,128,132
"2026-07-20 09:00:00",,120,125
"2026-07-20 10:00:00",,111,119
"2026-07-20 11:00:00",,117,125
"2026-07-20 12:00:00",,403,427
"2026-07-20 13:00:00",,129,135
"2026-07-20 14:00:00",,119,125
"2026-07-20 15:00:00",,113,119
"2026-07-20 16:00:00",,110,113
"2026-07-20 17:00:00",,110,113
"2026-07-20 18:00:00",,118,124
"2026-07-20 19:00:00",,126,131
"2026-07-20 20:00:00",,130,134
"2026-07-20 21:00:00",,130,134
"2026-07-20 22:00:00",,131,135
"2026-07-20 23:00:00",,130,134
"2026-07-21 00:00:00",,124,128
"2026-07-21 01:00:00",,105,110
"2026-07-21 02:00:00",,92,95
"2026-07-21 03:00:00",,84,87
"2026-07-21 04:00:00",,77,80
"2026-07-21 05:00:00",,65,68
"2026-07-21 06:00:00",,55,57
"2026-07-21 07:00:00",,45,51
"2026-07-21 08:00:00",,51,53
"2026-07-21 09:00:00",,56,59
"2026-07-21 10:00:00",,60,65
"2026-07-21 11:00:00",,66,72
"2026-07-21 12:00:00",,62,68
"2026-07-21 13:00:00",,59,64
"2026-07-21 14:00:00",,58,62
"2026-07-21 15:00:00",,51,55
"2026-07-21 16:00:00",,47,53
"2026-07-21 17:00:00",,45,53
"2026-07-21 18:00:00",,33,40
"2026-07-21 19:00:00",,21,26
"2026-07-21 20:00:00",,10,11
"2026-07-21 21:00:00",,17,18
"2026-07-21 22:00:00",,18,19
"2026-07-21 23:00:00",,11,12
"2026-07-22 00:00:00",,4,6
"2026-07-22 01:00:00",,2,3
"2026-07-22 02:00:00",,2,2
"2026-07-22 03:00:00",,2,3
"2026-07-22 04:00:00",,3,3
"2026-07-22 05:00:00",,2,3
"2026-07-22 06:00:00",,5,6
"2026-07-22 07:00:00",,7,10
"2026-07-22 08:00:00",,6,8
"2026-07-22 09:00:00",,4,5
"2026-07-22 10:00:00",,4,4
"2026-07-22 11:00:00",,2,2
"2026-07-22 12:00:00",,4,6
"2026-07-22 13:00:00",,7,8
"2026-07-22 14:00:00",,8,9
"2026-07-22 15:00:00",,12,11
"2026-07-22 16:00:00",,9,11
"2026-07-22 17:00:00",,11,11
"2026-07-22 18:00:00",,9,8
"2026-07-22 19:00:00",,10,13
"2026-07-22 20:00:00",,14,17
"2026-07-22 21:00:00",,16,19
"2026-07-22 22:00:00",,16,18
"2026-07-22 23:00:00",,21,21
"2026-07-23 00:00:00",,32,34
"2026-07-23 01:00:00",,39,45
"2026-07-23 02:00:00",,45,50
"2026-07-23 03:00:00",,46,52
"2026-07-23 04:00:00",,49,53
"2026-07-23 05:00:00",,48,53
"2026-07-23 06:00:00",,53,55
"2026-07-23 07:00:00",,60,63
"2026-07-23 08:00:00",,57,60
"2026-07-23 09:00:00",,31,34
"2026-07-23 10:00:00",,17,21
"2026-07-23 11:00:00",,13,16
"2026-07-23 12:00:00",,19,33
"2026-07-23 13:00:00",,29,41
"2026-07-23 14:00:00",,16,23
"2026-07-23 15:00:00",,16,26
"2026-07-23 16:00:00",,16,27
"2026-07-23 17:00:00",,13,15
"2026-07-23 18:00:00",,14,15
"2026-07-23 19:00:00",,19,26
"2026-07-23 20:00:00",,28,34
"2026-07-23 21:00:00",,36,42
"2026-07-23 22:00:00",,37,42
"2026-07-23 23:00:00",,38,44
"2026-07-24 00:00:00",,47,52
"2026-07-24 01:00:00",,52,55
"2026-07-24 02:00:00",,53,56
"2026-07-24 03:00:00",,53,56
"2026-07-24 04:00:00",,51,55
"2026-07-24 05:00:00",,50,54
"2026-07-24 06:00:00",,48,52
"2026-07-24 07:00:00",,45,51
"2026-07-24 08:00:00",,44,49
"2026-07-24 09:00:00",,41,47
"2026-07-24 10:00:00",92.8,28,34
