epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,289.258,0.3081,0.88608,1,0.32025,0.00103987,0.00103987,0.00103987
78,292.818,0.22237,0.89873,1,0.27592,0.00103162,0.00103162,0.00103162
79,296.345,0.27092,0.89241,1,0.34914,0.00102337,0.00102337,0.00102337
80,299.908,0.21506,0.90506,1,0.4269,0.00101512,0.00101512,0.00101512
81,303.55,0.21508,0.87342,1,0.36943,0.00100687,0.00100687,0.00100687
82,307.147,0.23352,0.89873,1,0.3828,0.000998616,0.000998616,0.000998616
83,310.504,0.2375,0.87342,1,0.45464,0.000990365,0.000990365,0.000990365
84,313.688,0.22198,0.86076,1,0.34228,0.000982113,0.000982113,0.000982113
85,317.958,0.22409,0.89241,1,0.39798,0.000973861,0.000973861,0.000973861
86,322.181,0.23427,0.86709,1,0.37582,0.00096561,0.00096561,0.00096561
87,326.408,0.18535,0.85443,1,0.4361,0.000957358,0.000957358,0.000957358
88,330.54,0.19951,0.87975,1,0.36693,0.000949106,0.000949106,0.000949106
89,334.678,0.25759,0.88608,1,0.39327,0.000940855,0.000940855,0.000940855
90,338.142,0.17598,0.89873,1,0.30793,0.000932603,0.000932603,0.000932603
91,341.697,0.20587,0.90506,1,0.31452,0.000924352,0.000924352,0.000924352
92,345.17,0.23299,0.85443,1,0.39917,0.0009161,0.0009161,0.0009161
93,348.767,0.21514,0.87342,1,0.41961,0.000907848,0.000907848,0.000907848
94,352.273,0.20096,0.89873,1,0.50396,0.000899597,0.000899597,0.000899597
95,355.896,0.20168,0.87342,1,0.50593,0.000891345,0.000891345,0.000891345
96,359.51,0.18513,0.86076,1,0.4721,0.000883093,0.000883093,0.000883093
97,363.057,0.17475,0.87342,1,0.44006,0.000874842,0.000874842,0.000874842
98,366.623,0.20387,0.89873,1,0.35182,0.00086659,0.00086659,0.00086659
99,370.19,0.1892,0.87975,1,0.44169,0.000858338,0.000858338,0.000858338
100,373.498,0.18906,0.91139,1,0.30874,0.000850087,0.000850087,0.000850087
101,377.807,0.17348,0.89241,1,0.30959,0.000841835,0.000841835,0.000841835
102,382.058,0.25909,0.89241,1,0.40709,0.000833583,0.000833583,0.000833583
103,386.247,0.19904,0.87975,1,0.29489,0.000825332,0.000825332,0.000825332
104,390.396,0.17858,0.87975,1,0.30924,0.00081708,0.00081708,0.00081708
105,394.548,0.17915,0.87975,1,0.40364,0.000808828,0.000808828,0.000808828
106,398.25,0.22312,0.86709,1,0.4864,0.000800577,0.000800577,0.000800577
107,401.825,0.21137,0.88608,1,0.36754,0.000792325,0.000792325,0.000792325
108,405.319,0.18457,0.86076,1,0.34607,0.000784073,0.000784073,0.000784073
109,408.879,0.18639,0.89873,1,0.35075,0.000775822,0.000775822,0.000775822
110,412.435,0.16294,0.89873,1,0.28325,0.00076757,0.00076757,0.00076757
111,416.003,0.1815,0.88608,1,0.32245,0.000759318,0.000759318,0.000759318
112,419.533,0.14664,0.90506,1,0.34061,0.000751067,0.000751067,0.000751067
113,423.045,0.15216,0.88608,1,0.39873,0.000742815,0.000742815,0.000742815
114,426.6,0.15212,0.88608,1,0.42345,0.000734564,0.000734564,0.000734564
115,430.15,0.16541,0.89241,1,0.37171,0.000726312,0.000726312,0.000726312
116,433.459,0.17995,0.88608,1,0.31653,0.00071806,0.00071806,0.00071806
117,437.707,0.17606,0.89873,1,0.29535,0.000709809,0.000709809,0.000709809
118,441.948,0.16755,0.87975,1,0.27775,0.000701557,0.000701557,0.000701557
119,446.032,0.13556,0.87975,1,0.33452,0.000693305,0.000693305,0.000693305
120,450.205,0.14224,0.90506,1,0.32106,0.000685054,0.000685054,0.000685054
121,454.303,0.11947,0.91772,1,0.29574,0.000676802,0.000676802,0.000676802
122,458.423,0.15979,0.92405,1,0.3016,0.00066855,0.00066855,0.00066855
123,461.908,0.15152,0.89873,1,0.35034,0.000660299,0.000660299,0.000660299
124,465.366,0.12813,0.90506,1,0.3428,0.000652047,0.000652047,0.000652047
125,468.907,0.11718,0.89873,1,0.36801,0.000643795,0.000643795,0.000643795
126,472.443,0.13082,0.90506,1,0.37168,0.000635544,0.000635544,0.000635544
127,476.01,0.16265,0.89873,1,0.37811,0.000627292,0.000627292,0.000627292
128,479.636,0.12326,0.89873,1,0.43019,0.00061904,0.00061904,0.00061904
129,483.208,0.16405,0.86709,1,0.40006,0.000610789,0.000610789,0.000610789
130,486.722,0.18668,0.89241,1,0.30999,0.000602537,0.000602537,0.000602537
131,490.106,0.13024,0.88608,1,0.36541,0.000594286,0.000594286,0.000594286
132,493.325,0.19907,0.89873,1,0.31975,0.000586034,0.000586034,0.000586034
133,497.566,0.13107,0.88608,1,0.36277,0.000577782,0.000577782,0.000577782
134,501.652,0.17096,0.90506,1,0.31575,0.000569531,0.000569531,0.000569531
135,505.778,0.14182,0.89873,1,0.36624,0.000561279,0.000561279,0.000561279
136,509.873,0.12798,0.88608,1,0.37394,0.000553027,0.000553027,0.000553027
137,513.995,0.1551,0.89241,1,0.35102,0.000544776,0.000544776,0.000544776
138,517.669,0.14679,0.89241,1,0.30001,0.000536524,0.000536524,0.000536524
139,521.201,0.1332,0.91139,1,0.22763,0.000528272,0.000528272,0.000528272
140,524.705,0.10695,0.89873,1,0.3164,0.000520021,0.000520021,0.000520021
141,528.205,0.13477,0.91139,1,0.29891,0.000511769,0.000511769,0.000511769
142,531.839,0.11152,0.92405,1,0.30576,0.000503517,0.000503517,0.000503517
143,535.534,0.12247,0.89873,1,0.37922,0.000495266,0.000495266,0.000495266
144,539.189,0.16011,0.92405,1,0.33658,0.000487014,0.000487014,0.000487014
145,542.859,0.10724,0.92405,1,0.33586,0.000478762,0.000478762,0.000478762
146,546.413,0.10443,0.90506,1,0.42485,0.000470511,0.000470511,0.000470511
147,549.505,0.14243,0.92405,1,0.38422,0.000462259,0.000462259,0.000462259
148,553.179,0.10276,0.90506,1,0.35456,0.000454007,0.000454007,0.000454007
149,557.432,0.11128,0.91772,1,0.33177,0.000445756,0.000445756,0.000445756
150,561.635,0.12854,0.89873,1,0.39436,0.000437504,0.000437504,0.000437504
151,565.794,0.10944,0.91772,1,0.30405,0.000429253,0.000429253,0.000429253
152,569.922,0.09036,0.90506,1,0.27847,0.000421001,0.000421001,0.000421001
153,574.054,0.09088,0.90506,1,0.3256,0.000412749,0.000412749,0.000412749
154,577.711,0.12325,0.89873,1,0.37933,0.000404498,0.000404498,0.000404498
155,581.17,0.13106,0.89241,1,0.36915,0.000396246,0.000396246,0.000396246
156,584.634,0.10031,0.89241,1,0.38628,0.000387994,0.000387994,0.000387994
157,588.048,0.09243,0.91139,1,0.39286,0.000379743,0.000379743,0.000379743
158,591.629,0.09924,0.89873,1,0.434,0.000371491,0.000371491,0.000371491
159,594.956,0.10826,0.93671,1,0.39107,0.000363239,0.000363239,0.000363239
160,597.959,0.13131,0.91139,1,0.41992,0.000354988,0.000354988,0.000354988
161,601.062,0.12886,0.91772,1,0.33394,0.000346736,0.000346736,0.000346736
162,604.237,0.11966,0.90506,1,0.34915,0.000338484,0.000338484,0.000338484
163,607.306,0.08822,0.90506,1,0.3757,0.000330233,0.000330233,0.000330233
164,610.283,0.08056,0.89241,1,0.37763,0.000321981,0.000321981,0.000321981
165,613.419,0.0798,0.89873,1,0.37266,0.000313729,0.000313729,0.000313729
166,616.476,0.09608,0.90506,1,0.36641,0.000305478,0.000305478,0.000305478
167,620.703,0.09059,0.89241,1,0.41238,0.000297226,0.000297226,0.000297226
168,624.861,0.0726,0.89873,1,0.44631,0.000288974,0.000288974,0.000288974
169,629.005,0.09885,0.90506,1,0.43515,0.000280723,0.000280723,0.000280723
170,633.138,0.08165,0.89873,1,0.42097,0.000272471,0.000272471,0.000272471
171,637.275,0.08903,0.89873,1,0.33379,0.00026422,0.00026422,0.00026422
172,641.261,0.06381,0.89873,1,0.35078,0.000255968,0.000255968,0.000255968
173,644.585,0.07016,0.88608,1,0.4521,0.000247716,0.000247716,0.000247716
174,648.185,0.09089,0.89241,1,0.3996,0.000239465,0.000239465,0.000239465
175,651.653,0.06938,0.89873,1,0.41681,0.000231213,0.000231213,0.000231213
176,655.22,0.07519,0.88608,1,0.43895,0.000222961,0.000222961,0.000222961
177,658.883,0.08829,0.88608,1,0.38197,0.00021471,0.00021471,0.00021471
178,662.534,0.08466,0.87342,1,0.39944,0.000206458,0.000206458,0.000206458
179,666.088,0.06058,0.89241,1,0.35392,0.000198206,0.000198206,0.000198206
180,669.737,0.08002,0.90506,1,0.3607,0.000189955,0.000189955,0.000189955
181,673.253,0.07043,0.89873,1,0.38417,0.000181703,0.000181703,0.000181703
182,676.223,0.08268,0.90506,1,0.3505,0.000173451,0.000173451,0.000173451
183,679.776,0.06942,0.89873,1,0.35008,0.0001652,0.0001652,0.0001652
184,683.984,0.10047,0.90506,1,0.33821,0.000156948,0.000156948,0.000156948
185,688.016,0.07048,0.91772,1,0.31409,0.000148696,0.000148696,0.000148696
186,692.197,0.07048,0.89241,1,0.3574,0.000140445,0.000140445,0.000140445
187,696.295,0.06224,0.89241,1,0.36209,0.000132193,0.000132193,0.000132193
188,700.333,0.05508,0.90506,1,0.33612,0.000123941,0.000123941,0.000123941
189,704.186,0.07059,0.89873,1,0.39341,0.00011569,0.00011569,0.00011569
190,707.612,0.0639,0.89241,1,0.40929,0.000107438,0.000107438,0.000107438
191,711.535,0.07418,0.89873,1,0.4137,9.91865e-05,9.91865e-05,9.91865e-05
192,715.33,0.08231,0.89241,1,0.41753,9.09349e-05,9.09349e-05,9.09349e-05
193,719.01,0.08065,0.89241,1,0.43698,8.26832e-05,8.26832e-05,8.26832e-05
194,722.582,0.05358,0.89241,1,0.42802,7.44316e-05,7.44316e-05,7.44316e-05
195,726.145,0.06775,0.89241,1,0.42199,6.61799e-05,6.61799e-05,6.61799e-05
196,729.759,0.08505,0.89873,1,0.42244,5.79283e-05,5.79283e-05,5.79283e-05
197,733.01,0.06409,0.89873,1,0.44383,4.96766e-05,4.96766e-05,4.96766e-05
198,737.286,0.05686,0.89873,1,0.42777,4.1425e-05,4.1425e-05,4.1425e-05
199,741.499,0.08871,0.89873,1,0.43104,3.31733e-05,3.31733e-05,3.31733e-05
200,745.607,0.0906,0.90506,1,0.44142,2.49217e-05,2.49217e-05,2.49217e-05
