epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,379.319,0.4665,0.6901,1,0.60671,0.00103987,0.00103987,0.00103987
78,383.857,0.44063,0.73177,1,0.53174,0.00103162,0.00103162,0.00103162
79,388.562,0.4332,0.75,1,0.5058,0.00102337,0.00102337,0.00102337
80,392.923,0.45909,0.74219,1,0.51866,0.00101512,0.00101512,0.00101512
81,398.269,0.43037,0.76562,1,0.54417,0.00100687,0.00100687,0.00100687
82,403.816,0.4328,0.73438,1,0.51841,0.000998616,0.000998616,0.000998616
83,409.322,0.43218,0.73177,1,0.53708,0.000990365,0.000990365,0.000990365
84,414.884,0.4536,0.74219,1,0.50635,0.000982113,0.000982113,0.000982113
85,420.125,0.4282,0.75,1,0.54744,0.000973861,0.000973861,0.000973861
86,424.95,0.44591,0.72656,1,0.51491,0.00096561,0.00096561,0.00096561
87,429.758,0.41849,0.75521,1,0.52632,0.000957358,0.000957358,0.000957358
88,434.312,0.43267,0.73698,1,0.5436,0.000949106,0.000949106,0.000949106
89,438.883,0.43512,0.75,1,0.51904,0.000940855,0.000940855,0.000940855
90,443.502,0.42501,0.75,1,0.54693,0.000932603,0.000932603,0.000932603
91,448.153,0.46604,0.71094,1,0.58163,0.000924352,0.000924352,0.000924352
92,452.935,0.43614,0.74219,1,0.52223,0.0009161,0.0009161,0.0009161
93,457.495,0.40798,0.71094,1,0.59835,0.000907848,0.000907848,0.000907848
94,462.905,0.43631,0.73958,1,0.54334,0.000899597,0.000899597,0.000899597
95,468.415,0.41997,0.7526,1,0.57675,0.000891345,0.000891345,0.000891345
96,473.735,0.40791,0.73438,1,0.60391,0.000883093,0.000883093,0.000883093
97,479.183,0.42818,0.73698,1,0.51396,0.000874842,0.000874842,0.000874842
98,483.986,0.423,0.72135,1,0.58613,0.00086659,0.00086659,0.00086659
99,488.835,0.39358,0.75781,1,0.54185,0.000858338,0.000858338,0.000858338
100,493.539,0.37485,0.73698,1,0.57504,0.000850087,0.000850087,0.000850087
101,498.257,0.41495,0.72656,1,0.57145,0.000841835,0.000841835,0.000841835
102,502.945,0.39852,0.75521,1,0.54964,0.000833583,0.000833583,0.000833583
103,507.736,0.37599,0.76302,1,0.5775,0.000825332,0.000825332,0.000825332
104,512.471,0.41808,0.73958,1,0.54294,0.00081708,0.00081708,0.00081708
105,517.108,0.39784,0.80469,1,0.5196,0.000808828,0.000808828,0.000808828
106,521.8,0.38417,0.77083,1,0.49064,0.000800577,0.000800577,0.000800577
107,527.123,0.37307,0.76562,1,0.5298,0.000792325,0.000792325,0.000792325
108,532.512,0.38158,0.76042,1,0.48494,0.000784073,0.000784073,0.000784073
109,537.664,0.36402,0.73698,1,0.5279,0.000775822,0.000775822,0.000775822
110,542.711,0.38297,0.75781,1,0.53648,0.00076757,0.00076757,0.00076757
111,547.411,0.37865,0.72917,1,0.55474,0.000759318,0.000759318,0.000759318
112,551.655,0.37763,0.72917,1,0.54365,0.000751067,0.000751067,0.000751067
113,555.914,0.35412,0.74479,1,0.58503,0.000742815,0.000742815,0.000742815
114,560.394,0.35346,0.76302,1,0.53229,0.000734564,0.000734564,0.000734564
115,564.98,0.33799,0.77083,1,0.52325,0.000726312,0.000726312,0.000726312
116,569.568,0.35965,0.76042,1,0.52033,0.00071806,0.00071806,0.00071806
117,574.288,0.34305,0.76562,1,0.53807,0.000709809,0.000709809,0.000709809
118,578.944,0.35213,0.77344,1,0.50561,0.000701557,0.000701557,0.000701557
119,583.193,0.34335,0.76823,1,0.5088,0.000693305,0.000693305,0.000693305
120,588.712,0.35229,0.76823,1,0.53241,0.000685054,0.000685054,0.000685054
121,594.007,0.34494,0.7474,1,0.53761,0.000676802,0.000676802,0.000676802
122,599.346,0.35343,0.77865,1,0.5188,0.00066855,0.00066855,0.00066855
123,604.798,0.33179,0.75,1,0.53805,0.000660299,0.000660299,0.000660299
124,609.873,0.35038,0.78906,1,0.47932,0.000652047,0.000652047,0.000652047
125,614.773,0.33899,0.76823,1,0.54122,0.000643795,0.000643795,0.000643795
126,619.617,0.32972,0.78385,1,0.55578,0.000635544,0.000635544,0.000635544
127,624.303,0.33895,0.8125,1,0.50392,0.000627292,0.000627292,0.000627292
128,629.218,0.3167,0.76042,1,0.57128,0.00061904,0.00061904,0.00061904
129,634.097,0.32344,0.77865,1,0.51787,0.000610789,0.000610789,0.000610789
130,638.848,0.32847,0.80469,1,0.49827,0.000602537,0.000602537,0.000602537
131,643.564,0.34678,0.79427,1,0.4897,0.000594286,0.000594286,0.000594286
132,648.228,0.3321,0.77344,1,0.60222,0.000586034,0.000586034,0.000586034
133,652.455,0.30587,0.75521,1,0.59551,0.000577782,0.000577782,0.000577782
134,657.315,0.30171,0.79167,1,0.53156,0.000569531,0.000569531,0.000569531
135,662.783,0.32606,0.80469,1,0.52707,0.000561279,0.000561279,0.000561279
136,668.215,0.30367,0.79167,1,0.49771,0.000553027,0.000553027,0.000553027
137,673.661,0.29159,0.80469,1,0.60568,0.000544776,0.000544776,0.000544776
138,678.974,0.29912,0.79948,1,0.57577,0.000536524,0.000536524,0.000536524
139,683.585,0.30222,0.78125,1,0.56223,0.000528272,0.000528272,0.000528272
140,688.239,0.30388,0.77604,1,0.52484,0.000520021,0.000520021,0.000520021
141,692.815,0.30548,0.79427,1,0.52328,0.000511769,0.000511769,0.000511769
142,697.463,0.29986,0.8125,1,0.49141,0.000503517,0.000503517,0.000503517
143,702.141,0.29016,0.80208,1,0.51775,0.000495266,0.000495266,0.000495266
144,706.847,0.29968,0.78906,1,0.56226,0.000487014,0.000487014,0.000487014
145,711.366,0.30833,0.79688,1,0.50164,0.000478762,0.000478762,0.000478762
146,715.631,0.2785,0.82031,1,0.52565,0.000470511,0.000470511,0.000470511
147,721.173,0.27931,0.8151,1,0.54189,0.000462259,0.000462259,0.000462259
148,726.641,0.2711,0.8099,1,0.54152,0.000454007,0.000454007,0.000454007
149,732.011,0.2875,0.80208,1,0.53044,0.000445756,0.000445756,0.000445756
150,737.412,0.27469,0.8099,1,0.58273,0.000437504,0.000437504,0.000437504
151,742.489,0.26468,0.82812,1,0.5105,0.000429253,0.000429253,0.000429253
152,747.403,0.25462,0.8099,1,0.59147,0.000421001,0.000421001,0.000421001
153,751.97,0.25324,0.8099,1,0.5157,0.000412749,0.000412749,0.000412749
154,756.689,0.27802,0.80469,1,0.52335,0.000404498,0.000404498,0.000404498
155,761.319,0.27347,0.80729,1,0.50744,0.000396246,0.000396246,0.000396246
156,765.974,0.26182,0.80729,1,0.52704,0.000387994,0.000387994,0.000387994
157,770.649,0.25228,0.79688,1,0.52691,0.000379743,0.000379743,0.000379743
158,775.308,0.27424,0.81771,1,0.50513,0.000371491,0.000371491,0.000371491
159,780.744,0.23724,0.80208,1,0.51299,0.000363239,0.000363239,0.000363239
160,786.204,0.2461,0.79427,1,0.53821,0.000354988,0.000354988,0.000354988
161,791.749,0.22681,0.80208,1,0.5625,0.000346736,0.000346736,0.000346736
162,797.158,0.27818,0.78906,1,0.56402,0.000338484,0.000338484,0.000338484
163,801.762,0.26769,0.79427,1,0.52295,0.000330233,0.000330233,0.000330233
164,806.348,0.23151,0.82292,1,0.55309,0.000321981,0.000321981,0.000321981
165,811.044,0.25062,0.8125,1,0.54235,0.000313729,0.000313729,0.000313729
166,815.884,0.23962,0.8151,1,0.53785,0.000305478,0.000305478,0.000305478
167,820.455,0.22313,0.8151,1,0.52739,0.000297226,0.000297226,0.000297226
168,825.166,0.23419,0.81771,1,0.52449,0.000288974,0.000288974,0.000288974
169,830.065,0.21344,0.80469,1,0.56553,0.000280723,0.000280723,0.000280723
170,834.759,0.2282,0.80469,1,0.58571,0.000272471,0.000272471,0.000272471
171,839.318,0.2121,0.79688,1,0.58522,0.00026422,0.00026422,0.00026422
172,844.863,0.24316,0.8099,1,0.54559,0.000255968,0.000255968,0.000255968
173,850.315,0.21689,0.8151,1,0.53012,0.000247716,0.000247716,0.000247716
174,855.839,0.22185,0.8151,1,0.52685,0.000239465,0.000239465,0.000239465
175,861.408,0.19276,0.8125,1,0.57249,0.000231213,0.000231213,0.000231213
176,866.179,0.21127,0.80729,1,0.59798,0.000222961,0.000222961,0.000222961
177,870.747,0.18244,0.80729,1,0.63034,0.00021471,0.00021471,0.00021471
178,875.537,0.20664,0.80469,1,0.62514,0.000206458,0.000206458,0.000206458
179,880.393,0.23393,0.80208,1,0.58381,0.000198206,0.000198206,0.000198206
180,884.954,0.20004,0.80729,1,0.5652,0.000189955,0.000189955,0.000189955
181,889.694,0.22938,0.82031,1,0.5339,0.000181703,0.000181703,0.000181703
182,893.947,0.20406,0.81771,1,0.55858,0.000173451,0.000173451,0.000173451
183,898.299,0.20551,0.8099,1,0.57936,0.0001652,0.0001652,0.0001652
184,903.764,0.19979,0.81771,1,0.59607,0.000156948,0.000156948,0.000156948
185,909.244,0.20457,0.81771,1,0.63098,0.000148696,0.000148696,0.000148696
186,914.638,0.19605,0.82031,1,0.64272,0.000140445,0.000140445,0.000140445
187,919.923,0.19947,0.8151,1,0.62822,0.000132193,0.000132193,0.000132193
188,925.117,0.18033,0.8151,1,0.61961,0.000123941,0.000123941,0.000123941
189,929.942,0.19769,0.8125,1,0.62483,0.00011569,0.00011569,0.00011569
190,934.568,0.20107,0.81771,1,0.60595,0.000107438,0.000107438,0.000107438
191,940.124,0.18555,0.81771,1,0.59093,9.91865e-05,9.91865e-05,9.91865e-05
192,945.007,0.19309,0.81771,1,0.5696,9.09349e-05,9.09349e-05,9.09349e-05
193,949.684,0.1851,0.82292,1,0.57677,8.26832e-05,8.26832e-05,8.26832e-05
194,954.494,0.1839,0.8125,1,0.57195,7.44316e-05,7.44316e-05,7.44316e-05
195,959.273,0.19116,0.8125,1,0.5865,6.61799e-05,6.61799e-05,6.61799e-05
196,963.974,0.16574,0.81771,1,0.59126,5.79283e-05,5.79283e-05,5.79283e-05
197,968.15,0.15546,0.8099,1,0.59792,4.96766e-05,4.96766e-05,4.96766e-05
198,972.917,0.17808,0.80729,1,0.61264,4.1425e-05,4.1425e-05,4.1425e-05
199,978.464,0.15705,0.80729,1,0.62074,3.31733e-05,3.31733e-05,3.31733e-05
200,983.948,0.19387,0.80729,1,0.61667,2.49217e-05,2.49217e-05,2.49217e-05
