timestamp,name,pm2.5,meta.avg_frequency,meta.description,meta.host,meta.missing,meta.node,meta.plugin,meta.sensor,meta.task,meta.units,meta.vsn,meta.zone,vsn
2026-07-10 16:05:08.725528803+00:00,aqt.particle.pm2.5,0.8,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:10:08.938872718+00:00,aqt.particle.pm2.5,0.0,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:15:09.156801059+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:20:09.372694248+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:25:09.587750917+00:00,aqt.particle.pm2.5,12.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:30:08.806330448+00:00,aqt.particle.pm2.5,14.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:35:09.024098225+00:00,aqt.particle.pm2.5,23.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:40:09.239452156+00:00,aqt.particle.pm2.5,10.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:45:09.451527303+00:00,aqt.particle.pm2.5,0.4,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
2026-07-10 16:50:08.670640590+00:00,aqt.particle.pm2.5,3.9,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c51f.ws-nxcore,-9999.9,000048b02dd3c51f,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W099,core,W099
