timestamp,name,pm2.5,meta.avg_frequency,meta.description,meta.host,meta.missing,meta.node,meta.plugin,meta.sensor,meta.task,meta.units,meta.vsn,meta.zone,vsn
2026-07-10 17:35:06.287072846+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 17:40:06.498300068+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 17:45:06.720657896+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 17:50:05.939693140+00:00,aqt.particle.pm2.5,0.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 17:55:06.154122118+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:00:06.369679769+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:05:06.589045267+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:10:06.801790898+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:15:06.012446093+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:20:06.233805434+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:25:06.450589962+00:00,aqt.particle.pm2.5,0.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:30:06.667712624+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:35:05.881096814+00:00,aqt.particle.pm2.5,0.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:40:06.098905033+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:45:06.304931034+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:50:06.522469422+00:00,aqt.particle.pm2.5,0.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 18:55:06.738523123+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:00:05.951038195+00:00,aqt.particle.pm2.5,0.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:05:06.168973225+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:10:06.374817324+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:15:06.595053625+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:20:06.811832194+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:25:06.022253112+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:30:06.238482625+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:35:06.453100975+00:00,aqt.particle.pm2.5,0.2,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:40:06.662706442+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:45:05.880053263+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:50:06.094428295+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 19:55:06.311384372+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:00:06.528537639+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:05:06.739359620+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:10:05.958788597+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:15:06.173393837+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:20:06.385779512+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:25:06.601446405+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:30:06.808213415+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
2026-07-10 20:35:06.030578393+00:00,aqt.particle.pm2.5,0.1,5min,Particulate Matter less than 2.5 microns in diameter,000048b02dd3c648.ws-nxcore,-9999.9,000048b02dd3c648,registry.sagecontinuum.org/kaludib/waggle-aqt530:1.00,vaisala-aqt530,waggle-aqt530,microgram per cubic meter,W0A0,core,W0A0
